Tỉnh/Thành phố,Thời gian,CSTP 7: Tính năng động,UBND tỉnh vận dụng PL linh hoạt nhằm tạo MTKD thuận lợi cho KTTN(%),"UBND tỉnh năng động, sáng tạo trong giải quyết vấn đề mới phát sinh (%)",Thái độ của chính quyền tỉnh với khu vực KTTN là tích cực(%),"Có sáng kiến hay ở cấp tỉnh, nhưng chưa được thực thi tốt ở các sở/ngành(%)","Lãnh đạo tỉnh có chủ trương đúng, nhưng chưa được thực hiện tốt ở cấp huyện/thị (%)","Khi CS,PL TW có điểm chưa rõ, CQ tỉnh thường “đợi xin ý kiến chỉ đạo”/“không làm gì cả)","Vướng mắc, khó khăn của DN được tháo gỡ kịp thời qua Đối thoại DN(%)","DN nhận được phản hồi của CQNN tỉnh sau khi phản ánh khó khăn, vướng mắc(%)",Tỉ lệ DN hài lòng với phản hồi/cách giải quyết của CQNN tỉnh(%)
geoId-AGG,201700,6.437277793884277,0.8611111044883728,0.5820895433425903,0.607594907283783,0.6764705777168274,0.4545454680919647,0.290909081697464,0.6527777910232544,0.930232584476471,0.7948718070983887
geoId-BR-VT,201700,5.445248603820801,0.7160493731498718,0.5600000023841858,0.4653465449810028,0.8354430198669434,0.5394737124443054,0.23076923191547394,0.6164383292198181,0.9473684430122375,0.7222222089767456
geoId-BGG,201700,6.045017719268799,0.7397260069847107,0.5362318754196167,0.5714285969734192,0.7464788556098938,0.4920634925365448,0.34090909361839294,0.6764705777168274,0.9459459185600281,0.8181818127632141
geoId-BKN,201700,4.148996829986572,0.6282051205635071,0.4285714328289032,0.4000000059604645,0.7397260069847107,0.5072463750839233,0.36734694242477417,0.5833333134651184,0.8461538553237915,0.7142857313156128
geoId-BLU,201700,6.043301105499268,0.8450704216957092,0.6363636255264282,0.6000000238418579,0.720588207244873,0.6060606241226196,0.41818180680274963,0.7681159377098083,0.8947368264198303,0.8181818127632141
geoId-BNH,201700,5.813506603240967,0.8148148059844971,0.699999988079071,0.4680851101875305,0.8271604776382446,0.6455696225166321,0.32203391194343567,0.7200000286102295,0.9642857313156128,0.692307710647583
geoId-BTE,201700,7.011680603027344,0.8732394576072693,0.6666666865348816,0.5542168617248535,0.6769230961799622,0.5223880410194397,0.2857142984867096,0.7878788113594055,0.9714285731315613,0.7647058963775635
Bình Định,201700,6.304779529571533,0.8181818127632141,0.6542056202888489,0.4876033067703247,0.7570093274116516,0.6237623691558838,0.2933333218097687,0.7383177280426025,0.9454545378684998,0.843137264251709
geoId-BDG,201700,6.035340309143066,0.7971014380455017,0.7014925479888916,0.43421053886413574,0.8235294222831726,0.6000000238418579,0.2688172161579132,0.689393937587738,0.9830508232116699,0.7241379022598267
geoId-BPC,201700,5.344986438751221,0.6875,0.5405405163764954,0.47191011905670166,0.797468364238739,0.6666666865348816,0.29629629850387573,0.5694444179534912,0.9666666388511658,0.8518518805503845
geoId-BTN,201700,5.344686508178711,0.675000011920929,0.5512820482254028,0.37634408473968506,0.6962025165557861,0.5324675440788269,0.31578946113586426,0.6266666650772095,0.8928571343421936,0.8799999952316284
geoId-CMU,201700,5.2134504318237305,0.6463414430618286,0.6363636255264282,0.3510638177394867,0.7407407164573669,0.5874999761581421,0.36666667461395264,0.7341772317886353,0.8918918967247009,0.7878788113594055
geoId-CTO,201700,6.107975959777832,0.8571428656578064,0.6666666865348816,0.4591836631298065,0.7654321193695068,0.7027027010917664,0.28070175647735596,0.7236841917037964,0.939393937587738,0.8387096524238586
geoId-CBG,201700,3.633897542953491,0.557894766330719,0.3888888955116272,0.3564356565475464,0.8191489577293396,0.593406617641449,0.3970588147640228,0.5287356376647949,0.9166666865348816,0.6363636255264282
Đà Nẵng,201700,6.6506829261779785,0.8867924809455872,0.7960526347160339,0.5868263244628906,0.7756410241127014,0.5646258592605591,0.2181818187236786,0.75,0.9545454382896423,0.6451612710952759
Đắk Lắk,201700,5.384654521942139,0.7142857313156128,0.5443037748336792,0.4000000059604645,0.792682945728302,0.604938268661499,0.3076923191547394,0.6097561120986938,0.970588207244873,0.7878788113594055
Đắk Nông,201700,4.729416847229004,0.7222222089767456,0.540229856967926,0.30927833914756775,0.8275862336158752,0.6091954112052917,0.27272728085517883,0.604651153087616,0.9444444179534912,0.6470588445663452
Điện Biên,201700,4.6856842041015625,0.5316455960273743,0.4736842215061188,0.45348837971687317,0.6883116960525513,0.42465752363204956,0.421875,0.4935064911842346,0.9428571462631226,0.75
Đồng Nai,201700,5.711121559143066,0.7291666865348816,0.5777778029441833,0.315315306186676,0.75789475440979,0.6373626589775085,0.16949152946472168,0.6395348906517029,0.970588207244873,0.7878788113594055
Đồng Tháp,201700,6.955479145050049,0.8970588445663452,0.8181818127632141,0.5733333230018616,0.7058823704719543,0.4848484992980957,0.24074074625968933,0.746268630027771,0.9411764740943909,0.7096773982048035
geoId-GLI,201700,4.916304111480713,0.6888889074325562,0.46590909361839294,0.3300970792770386,0.8111110925674438,0.6341463327407837,0.2957746386528015,0.6363636255264282,0.9210526347160339,0.8285714387893677
geoId-HGG,201700,5.32447624206543,0.699999988079071,0.546875,0.4457831382751465,0.6176470518112183,0.560606062412262,0.25999999046325684,0.640625,0.939393937587738,0.5806451439857483
geoId-HNM,201700,6.109450817108154,0.8380952477455139,0.7070707082748413,0.5614035129547119,0.8365384340286255,0.5757575631141663,0.20270270109176636,0.6470588445663452,0.9142857193946838,0.8125
geoId-HNI,201700,4.10343599319458,0.6848248839378357,0.522088348865509,0.35640138387680054,0.8372092843055725,0.6951219439506531,0.3988763988018036,0.5743801593780518,0.9333333373069763,0.6499999761581421
geoId-HTH,201700,5.734114646911621,0.8101266026496887,0.6111111044883728,0.5802469253540039,0.8571428656578064,0.6351351141929626,0.23529411852359772,0.6486486196517944,0.9444444179534912,0.7272727489471436
geoId-HDG,201700,4.931061744689941,0.717391312122345,0.5795454382896423,0.3611111044883728,0.8695651888847351,0.5176470875740051,0.35087719559669495,0.5862069129943848,0.939393937587738,0.7419354915618896
geoId-HPG,201700,5.2182207107543945,0.6959064602851868,0.5279502868652344,0.4030612111091614,0.7426900863647461,0.574999988079071,0.2897196114063263,0.6172839403152466,0.9180327653884888,0.7962962985038757
geoId-HGG,201700,6.678210735321045,0.8275862336158752,0.6964285969734192,0.5492957830429077,0.719298243522644,0.6363636255264282,0.3947368562221527,0.800000011920929,1.0,0.7666666507720947
geoId-HBH,201700,5.2197442054748535,0.6790123581886292,0.594936728477478,0.3737373650074005,0.7594936490058899,0.594936728477478,0.3731343150138855,0.6794871687889099,0.9487179517745972,0.7222222089767456
geoId-HYN,201700,4.499694347381592,0.6478873491287231,0.4852941036224365,0.36781609058380127,0.767123281955719,0.5441176295280457,0.4067796468734741,0.5074626803398132,0.9615384340286255,0.7083333134651184
geoId-KHA,201700,5.161275863647461,0.790123462677002,0.5625,0.42391303181648254,0.824999988079071,0.701298713684082,0.375,0.6538461446762085,0.9743589758872986,0.7027027010917664
geoId-KGG,201700,4.556065082550049,0.7972972989082336,0.6716417670249939,0.43421053886413574,0.739130437374115,0.6857143044471741,0.3777777850627899,0.7076923251152039,0.8684210777282715,0.5151515007019043
geoId-KTM,201700,5.1824541091918945,0.695652186870575,0.54347825050354,0.3478260934352875,0.7802197933197021,0.5632184147834778,0.3888888955116272,0.6395348906517029,0.9545454382896423,0.7857142686843872
geoId-LCU,201700,5.154282569885254,0.6268656849861145,0.4920634925365448,0.4533333480358124,0.7301587462425232,0.5846154093742371,0.31707316637039185,0.6153846383094788,0.95652174949646,0.7272727489471436
Lâm Đồng,201700,5.6720805168151855,0.7596153616905212,0.582524299621582,0.38053098320961,0.7798165082931519,0.6399999856948853,0.25757575035095215,0.6701030731201172,0.9777777791023254,0.738095223903656
geoId-LSN,201700,4.503921985626221,0.6321839094161987,0.43529412150382996,0.36734694242477417,0.8372092843055725,0.5365853905677795,0.390625,0.5975610017776489,0.936170220375061,0.7272727489471436
geoId-LCI,201700,6.797250747680664,0.792682945728302,0.6708860993385315,0.5656565427780151,0.7215189933776855,0.5199999809265137,0.31147539615631104,0.7228915691375732,1.0,0.7857142686843872
geoId-LAN,201700,7.071540355682373,0.8840579986572266,0.682539701461792,0.6024096608161926,0.7846153974533081,0.6166666746139526,0.3333333432674408,0.7936508059501648,0.96875,0.9333333373069763
Nam Định,201700,4.466550350189209,0.6172839403152466,0.5128205418586731,0.4117647111415863,0.7469879388809204,0.5256410241127014,0.27941176295280457,0.512499988079071,0.8500000238418579,0.8235294222831726
geoId-NAN,201700,5.135135650634766,0.6722689270973206,0.5789473652839661,0.40425533056259155,0.8333333134651184,0.695652186870575,0.21739129722118378,0.6428571343421936,0.9411764740943909,0.7446808218955994
geoId-NBH,201700,6.357418537139893,0.8615384697914124,0.7457627058029175,0.529411792755127,0.78125,0.6166666746139526,0.375,0.7636363506317139,0.9411764740943909,0.8125
geoId-NTN,201700,5.865263938903809,0.7599999904632568,0.5773195624351501,0.4727272689342499,0.7368420958518982,0.542553186416626,0.3235294222831726,0.6770833134651184,0.936170220375061,0.8139534592628479
geoId-PTO,201700,5.347296237945557,0.729411780834198,0.5609756112098694,0.4591836631298065,0.7469879388809204,0.5975610017776489,0.3333333432674408,0.574999988079071,0.9375,0.8333333134651184
geoId-PYN,201700,4.802800178527832,0.6153846383094788,0.484375,0.4124999940395355,0.8125,0.4032258093357086,0.36538460850715637,0.53125,0.9285714030265808,0.7692307829856873
geoId-QBH,201700,5.649062156677246,0.7647058963775635,0.5764706134796143,0.5053763389587402,0.738095223903656,0.5714285969734192,0.35087719559669495,0.7411764860153198,0.8974359035491943,0.7647058963775635
geoId-QNM,201700,6.6303181648254395,0.8170731663703918,0.7250000238418579,0.4791666567325592,0.75,0.5974025726318359,0.28070175647735596,0.737500011920929,0.9756097793579102,0.824999988079071
geoId-QNI,201700,5.248663902282715,0.7179487347602844,0.5205479264259338,0.3932584226131439,0.8243243098258972,0.6575342416763306,0.3529411852359772,0.7027027010917664,0.9512194991111755,0.7777777910232544
geoId-QNH,201700,6.412869453430176,0.8547008633613586,0.6915887594223022,0.5590550899505615,0.6428571343421936,0.5794392228126526,0.35211268067359924,0.672897219657898,0.939393937587738,0.8333333134651184
geoId-QTI,201700,5.078797817230225,0.625,0.550561785697937,0.4021739065647125,0.7471264600753784,0.5662650465965271,0.3050847351551056,0.5882353186607361,0.9677419066429138,0.6896551847457886
geoId-STG,201700,5.221436500549316,0.7820512652397156,0.5540540814399719,0.488095223903656,0.7948718070983887,0.6351351141929626,0.2181818187236786,0.6712328791618347,0.90625,0.6428571343421936
geoId-SLA,201700,4.749334812164307,0.6202531456947327,0.48051947355270386,0.42105263471603394,0.7532467246055603,0.6363636255264282,0.3448275923728943,0.6666666865348816,0.9473684430122375,0.6285714507102966
geoId-HCM,201700,5.258476257324219,0.8235294222831726,0.6775956153869629,0.3710407316684723,0.8272251486778259,0.7175140976905823,0.30714285373687744,0.676300585269928,0.9404761791229248,0.701298713684082
geoId-TTH,201700,5.812533378601074,0.7160493731498718,0.6025640964508057,0.49425286054611206,0.824999988079071,0.6103895902633667,0.3207547068595886,0.7272727489471436,0.9523809552192688,0.7948718070983887
geoId-TNH,201700,5.672837257385254,0.8117647171020508,0.6385542154312134,0.42718446254730225,0.7831325531005859,0.5833333134651184,0.37931033968925476,0.7058823704719543,0.9130434989929199,0.8292682766914368
geoId-TBH,201700,5.44208288192749,0.7684210538864136,0.625,0.5169491767883301,0.8404255509376526,0.6842105388641357,0.28985506296157837,0.6631578803062439,0.8958333134651184,0.8571428656578064
geoId-TNN,201700,6.051639556884766,0.7816091775894165,0.6511628031730652,0.5192307829856873,0.782608687877655,0.5308641791343689,0.23188406229019165,0.726190447807312,0.8823529481887817,0.8214285969734192
geoId-THA,201700,5.57169771194458,0.7142857313156128,0.4776119291782379,0.39024388790130615,0.7857142686843872,0.6338028311729431,0.2708333432674408,0.6944444179534912,0.9666666388511658,0.7931034564971924
geoId-TGG,201700,5.5804829597473145,0.8045976758003235,0.6235294342041016,0.37362638115882874,0.7647058963775635,0.6385542154312134,0.3731343150138855,0.7241379022598267,0.9772727489471436,0.6666666865348816
geoId-TVH,201700,5.844946384429932,0.8115941882133484,0.5396825671195984,0.5,0.7681159377098083,0.5454545617103577,0.34090909361839294,0.7761194109916687,0.9354838728904724,0.6800000071525574
geoId-TQG,201700,5.104383945465088,0.6527777910232544,0.5074626803398132,0.41025641560554504,0.7605633735656738,0.5625,0.239130437374115,0.6470588445663452,0.8484848737716675,0.8928571343421936
geoId-VLG,201700,6.153907299041748,0.8630136847496033,0.7101449370384216,0.4886363744735718,0.6901408433914185,0.5942028760910034,0.26229506731033325,0.7638888955116272,0.8999999761581421,0.7037037014961243
geoId-VPC,201700,5.97398567199707,0.8085106611251831,0.7356321811676025,0.5,0.8279569745063782,0.6292135119438171,0.25806450843811035,0.6781609058380127,0.9428571462631226,0.7666666507720947
geoId-YBI,201700,5.212480545043945,0.5789473652839661,0.4571428596973419,0.4886363744735718,0.7702702879905701,0.45945945382118225,0.30645161867141724,0.6266666650772095,0.9285714030265808,0.7631579041481018
